customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
0002-ORFBO,2021-03-15,Refferal,2025-03-15,Standard,Annual,,,13.99,627,12,0,keshav,India,Maharashtra,Male,1982-04-12 00:00:00,,,,
0003-MKNFE,2020-08-01,Paid,2024-08-01,Premium,Annual,2024-09-10,Switched to competitor,12.99,1150,91,1,raghav,India,Karnataka,Male,1995-11-23 00:00:00,2024-08-28,N,60.0,2.0
0004-TLHLJ,2022-11-20,Organic,2025-11-20,Basic,Monthly,,,6.99,210,34,0,lalita,India,Delhi,Female,1978-02-15 00:00:00,,,,
0011-IGKFF,2019-05-10,Paid,2025-05-10,Premium,Annual,,,22.99,1725,8,0,mohan,India,Nagaland,Male,2001-08-30 00:00:00,,,,
0013-EXCHZ,2023-01-05,Refferal,2024-01-05,Standard,Monthly,2024-02-28,Too expensive,13.99,195,88,1,mira,India,Delhi,Female,1990-05-05 00:00:00,2024-01-20,Y,20.0,1.0
0013-MHZWF,2022-06-18,Paid,2025-06-18,Standard,Annual,,,17.99,720,22,0,durga,India,Delhi,Female,1988-12-10 00:00:00,2025-03-18,N,90.0,1.0
0013-SMEOE,2021-09-30,Refferal,2024-09-30,Basic,Monthly,2024-11-15,Not enough content,8.99,230,79,1,mina,India,Meghalaya,Female,1976-09-21 00:00:00,2024-11-01,N,30.0,1.0
0014-BMAQU,2020-02-14,Organic,2025-02-14,Premium,Annual,,,22.99,1840,5,0,madan,India,Rajasthan,Male,1999-03-14 00:00:00,,,,
0015-UOCOJ,2023-07-22,Organic,2024-07-22,Standard,Monthly,,,13.99,240,34,0,maya,Nepal,Kathmandu,Female,1985-07-07 00:00:00,,,,
0016-QLJIS,2022-04-03,Organic,2025-04-03,Basic,Annual,,,6.99,335,41,0,arjun,Nepal,Kathmandu,Male,1993-10-29 00:00:00,,,,
0017-DINOC,2021-12-01,Organic,2025-12-01,Premium,Annual,,,22.99,1610,14,0,shiva,India,Maharashtra,Male,1997-01-22 00:00:00,,,,
0017-IUDMW,2023-03-17,Refferal,2024-03-17,Standard,Monthly,2024-05-01,Poor streaming quality,7.99,270,83,1,rangadevi,India,Karnataka,Female,1981-06-18 00:00:00,2024-04-10,Y,25.0,1.0
0018-NYROU,2020-10-09,Organic,2025-10-09,Standard,Annual,,,13.99,980,19,0,chitra,India,Telangana,Female,2004-12-01 00:00:00,,,,
0019-EFAEP,2022-08-25,Refferal,2024-08-25,Basic,Monthly,2024-10-31,Switched to competitor,12.99,160,76,1,raju,India,Meghalaya,Female,1992-04-25 00:00:00,2024-09-27,Y,30.0,1.0
0019-GFNTW,2019-11-11,Paid,2025-11-11,Premium,Annual,,,92.99,2185,3,0,Madhav,India,Uttar Pradesh,Male,1979-11-11 00:00:00,,,,
0020-INWCK,2023-05-06,Organic,2025-05-06,Standard,Monthly,,,13.99,640,58,0,parvati,India,Delhi,Female,1986-02-28 00:00:00,,,,
0020-JDNXP,2022-01-19,Organic,2024-01-19,Premium,Annual,,,20.99,550,62,0,rikim,India,Meghalaya,Female,1994-08-19 00:00:00,,,,
0021-IKXGC,2021-07-07,Paid,2025-07-07,Standard,Annual,,,13.99,840,27,0,vishakha,India,Rajasthan,Female,2000-09-02 00:00:00,,,,
0022-TCJCI,2023-09-14,Refferal,2024-09-14,Basic,Monthly,2024-09-14,Forgot to cancel trial,16.99,42,99,1,raghvendra,India,Telangana,Male,1983-12-30 00:00:00,2024-09-14,N,90.0,2.0
0023-HGHWL,2020-06-23,Organic,2025-06-23,Premium,Annual,,,22.99,1955,7,0,rishabh,India,Uttar Pradesh,Male,1991-05-14 00:00:00,,,,
0023-UYUPN,2022-12-31,Paid,2025-12-31,Standard,Monthly,,,13.99,790,47,0,sudevi,India,Maharashtra,Female,1977-10-06 00:00:00,,,,
1824-AHFTR,2020-10-12,Refferal,2021-10-12,Premium,Annual,,,58.86,882,51,0,daksh,India,Telangana,Male,1965-02-03 11:31:25,,,,
6924-IEYIC,2022-01-17,Paid,2022-02-16,Basic,Monthly,,,8.46,194,5,0,mahika,India,Meghalaya,Female,1997-11-26 11:31:25,,,,
4741-ZWWJL,2024-11-14,Paid,2025-11-14,Premium,Annual,2026-06-22,Too expensive,36.35,2035,96,1,ekaraj,India,Rajasthan,Male,1980-08-21 11:31:25,,,,
0916-FAIGF,2024-01-13,Refferal,2025-01-12,Standard,Annual,,,14.36,1278,28,0,caleb,Nepal,Kathmandu,Male,2001-06-22 11:31:25,2024-10-28,Y,13.0,2.0
2621-UKBJZ,2023-07-18,Paid,2024-07-17,Standard,Annual,,,13.6,652,65,0,kamala,India,Maharashtra,Female,1966-12-18 11:31:25,,,,
